Question,Answer,Category
Can I change my order after placing it?,You can modify your order within 1 hour of placement via 'My Orders' section.,Orders
Why is my refund amount different?,Refunds exclude shipping fees and any applied discounts.,Payments
How to reset my account password?,Go to Login > Forgot Password > Enter registered email for reset link.,Account
Where is my order right now?,Track real-time location via the shipping tracker in your order details.,Shipping
Do you offer cash on delivery?,COD is available for orders under ?5000 with 2% extra fee.,Payments
Product received is damaged, what to do?Email photos to support@example.com for instant replacement.,Returns
How to use gift card balance?,Apply gift card code during checkout under 'Payment Methods'.,Payments
Why was my order cancelled?,Common reasons: payment failure or item out of stock. Check email for details.,Orders
How to check warranty status?,Warranty details are on the product page or your invoice.,Products
Can I buy without registration?,Guest checkout available but registration gives order tracking benefits.,Account
What's the exchange policy?,10-day exchange window with original packaging. Visit Returns Center.,Returns
How to contact seller directly?,Use 'Contact Seller' button on product page for queries.,Products
Why delivery delayed?,"Delays occur due to weather, holidays or logistical issues. We SMS updates.",Shipping
Is international shipping free?,International orders attract custom duties + shipping fees.,Shipping
How to cancel subscription?,Go to 'Subscriptions' in account settings > Click 'Cancel'.,Account
Where's my refund?,Refunds take 5-7 bank working days after return approval.,Payments
Can I order without app?,"Yes, visit www.example.com on any browser for full features.",Account
How to change delivery address?,You can change your shipping address in your account settings before the order is shipped.,Shipping
What payment methods are accepted?,"We accept credit cards, PayPal, and gift cards.",Payments
How do I cancel my order?,You can cancel your order within 1 hour of placing it.,Orders
Can I exchange an item?,"Yes, you can exchange items within 30 days of receipt.",Returns
How long does shipping take?,Shipping usually takes 3-5 business days.,Shipping
Do you offer international shipping?,"Yes, we ship to select countries worldwide.",Shipping
How do I apply a discount code?,You can apply a discount code at checkout.,Payments
Can I get a refund?,Refunds are processed within 5-7 business days after we receive the returned item.,Returns
Can I return items after 30 days?,Returns are accepted within 30 days of receipt only.,Returns
How to track my order?,You can track your order using the tracking link sent to your email.,Orders
How to change my shipping address?,You can change your shipping address in your account settings before the order is shipped.,Shipping
How to contact customer service?,You can reach customer service via the 'Contact Us' page.,Account
How to check my order history?,You can view your order history in the 'My Orders' section of your account.,Orders
Can I return a gift?,Gifts can be returned for store credit within 30 days of receipt.,Returns
How to report a problem with my order?,You can report issues through the 'Help Center' on our website.,Orders
How to change my account email?,You can change your email in the 'Account Settings' section.,Account
How to delete my account?,"To delete your account, please contact customer support.",Account
How to reset my password?,You can reset your password by clicking on 'Forgot Password' at login.,Account
How to update my payment method?,You can update your payment method in the 'Payment Methods' section of your account.,Payments
How to check my balance?,You can check your balance in the 'Wallet' section of your account.,Payments
How to redeem my points?,You can redeem points during checkout for discounts on your order.,Payments
How to check the status of my return?,You can check the status of your return in the 'Returns' section of your account.,Returns
How to change my shipping method?,You can change your shipping method in the 'Order Details' section before the order ships.,Shipping
How to get a replacement for a defective item?,You can request a replacement through the 'Returns' section of your account.,Returns
How to check if an item is in stock?,You can check stock availability on the product page.,Products
How to find my order number?,Your order number is included in the confirmation email you received after placing your order.,Orders
How to contact the seller?,You can contact the seller through the 'Contact Seller' button on the product page.,Products
How to check the delivery date?,The estimated delivery date is shown on the product page and during checkout.,Shipping
How to change my account password?,You can change your password in the 'Account Settings' section.,Account
How to check my order tracking?,You can track your order using the tracking link sent to your email.,Orders
